일자,거래처,배색번호,품명,색상,호기,투입량,WIDTH,투입량.1,승온속도,평균염색온도,온도표준편차,염색시간(분),냉각속도,Water,투입량.2,온도,width(Inch),RPM,합격량(Y),불량수량,불량률(%)
2025-08-25,(주)앤디아이,2508-0346-0,NP/P75 PLAIN(CRW,# B/O,RAPID 3호,1450,60,1450,1.55,130,6.3,12,1.6,319,1450,180,59.5,60,1224,0,0
2025-08-25,(주)에스지인터,2508-0161-0,N/C20FD 2/2TW,#2091(#PS),RAPID 18호,753,59,753,1,90,5.525,30,1,423,753,180,58,50,103,0,0
2025-08-25,(주)에스지인터,2508-0164-0,N/C20FD 2/2TW,#2091(#PS),RAPID 18호,891,59,891,1.07,100,12,46,1,386,891,180,58,40,347,0,0
2025-08-25,(주)예성텍스타일,2508-0059-0,N/C20FD 2/2TW (YNC258-1),965 KAKI,RAPID 18호,650,56,650,1.078939618,64,9.2,30,1,428,650,180,57,40,313,39,11.1
2025-08-26,(주)구주글로벌,2508-0131-0,KCSP-4740(C/N40 BROKEN TW 1W),KANGROO,RAPID 18호,962,50.5,962,1.03,100,13,22,0.9,413,962,195,51.5,43,749,0,0
2025-05-14,호성무역,2504-0668-0,N40/50 DD RIB (EONN-1781P),BLUE,RAPID 5호,1320,58,1320,0.63,89,7.5,26,1.14,320.2,1320,170,63.5,50,939,147,13.5
2025-08-27,(주)구주글로벌,2508-0134-0,KCSP-4740(C/N40 BROKEN TW 1W),STARGAZER,RAPID 18호,702,50.5,702,0.56,90,6.2,26,1.13,379,702,195,51.5,43,374,7,1.8
2025-08-27,(주)삼보텍스,2507-0590-0,P150 R/S (ST2152),CEDAR,RAPID 18호,1005,59,1005,1.2,130,7.8,28,1.35,422,1005,170,58,35,805,0,0
2025-08-27,(주)예스텍스타일컨설팅랩,2508-0165-0,N70FD인터 PL 2W대,WHITE(DTP),RAPID 3호,840,54,840,1,90,5.4,27,0.9,324,840,195,55,30,602,27,4.3
2025-08-27,(주)예스텍스타일컨설팅랩,2508-0166-0,N70FD인터 PL 2W대,WHITE(DTP),RAPID 3호,888,54,888,0.9,90,5.2,25,1,312,888,195,55,30,551,20,3.5
2025-08-27,무한텍스,2508-0170-0,N/C20FD RIB (TC-35021-35/1),BROWN,RAPID 5호,932,60,932,0.63,85,9.6,28,0.78,320.2,932,180,60.5,40,832,0,0
2025-08-28,(주)구주글로벌,2507-0608-0,KCN-2029 (C/N20 OXFORD),GUNMETAL,RAPID 12호,330,55,330,0.88,60,6.2,24,0.95,151,330,180,55,40,239,60,20.1
2025-08-28,(주)앤디아이,2508-0449-0,NP/P75 PLAIN(CRW,# B/O,RAPID 3호,1468,60,1468,1.532105263,56,7.2,26,0.35,328,1468,180,59.5,60,1248,0,0
2025-08-28,(주)지앤드에이치인,2507-0503-0,C/N30 PLAIN (GH#3085),SKY BLUE,RAPID 18호,1204,55,1204,1,90,8.3,30,1,444,1204,160,58,50,1067,0,0
2025-08-28,K.J CORPORATION,2508-0288-0,KSC-7521(NP/C20 1/2T,SESAME,RAPID 18호,897,57,897,1,90,9.6,29,0.9,432,897,150,61,30,769,0,0
2025-08-29,(주)에스엠글로벌,2508-0498-0,K-5802(N70 1W),L/GREY,RAPID 12호,105,45,105,2.29,81,9.6,20,1,128,105,170,46,50,95,0,0
2025-08-29,K.J CORPORATION,2508-0281-0,KSC-7521(NP/C20 1/2T,SESAME,RAPID 18호,1201,57,1201,0.73,130,12.4,33,1.3,476,1201,160,61,35,996,11,1.1
2025-09-01,(주)앤디아이,2508-0454-0,NP/P75 PLAIN(CRW,# B/O,RAPID 3호,1419,60,1419,1.54,119,1,31,1.33,396,1419,180,59.5,60,1221,0,0
2025-09-01,(주)텍스에버플러스,2508-0200-0,P/C30 1/3MATT REC(TN23R-038),34700 CAMEL,RAPID 5호,812,58,812,1,85,4.5,24,0.66,320.2,812,160,58.5,30,720,0,0
2025-09-01,K.J CORPORATION,2508-0283-0,KSC-7521(NP/C20 1/2T,SESAME,RAPID 18호,1221,57,1221,0.73,130,11.7,33,1.37,479,1221,160,61,35,673,0,0
2025-09-01,K.J CORPORATION,2508-0284-0,KSC-7521(NP/C20 1/2T,SESAME,RAPID 18호,1223,57,1223,0.852857143,72,10.9,35,0.88,473,1223,160,61,35,927,0,0
2025-09-01,K.J CORPORATION,2508-0286-0,KSC-7521(NP/C20 1/2T,SESAME,RAPID 18호,893,57,893,0.78,130,0.4,40,1.67,479,893,160,61,35,767,0,0
2025-09-02,(주)구주글로벌,2508-0324-0,KCSP-2153(C/N20PL 1W,BRINDLE/LT.BRINDLE,RAPID 3호,1259,54,1259,1.05,90,8.3,30,1,497,1259,195,56,80,1121,0,0
2025-09-02,(주)지앤드에이치인,2507-0398-0,C/N30 PLAIN (GH#3085),FATIGUE GREEN,RAPID 3호,1001,55,1001,0.97,100,4.8,24,1,467,1001,160,58,55,861,13,1.5
2025-09-02,K.J CORPORATION,2508-0299-0,KSC-7521(NP/C20 1/2T,SESAME,RAPID 18호,886,57,886,0.91,130,7.6,46,1.5,450,886,160,61,35,765,0,0
2025-09-03,(주)구주글로벌,2507-0440-0,KCSP-2153(C/N20PL 1W,ERMINE,RAPID 5호,1197,54,1197,0.96,86,5.5,25,1.6,320.2,1197,195,56,85,642,0,0
2024-12-09,(주)삼보텍스,2411-0620-2,P/P75/150 (ST1103),BLACK,RAPID 12호,334,58,334,1.45,119,0.6,39,2.452857143,121,334,160,58.5,45,261,51,16.3
2025-09-03,(주)구주글로벌,2508-0325-0,KCSP-2153(C/N20PL 1W,BRINDLE/LT.BRINDLE,RAPID 3호,1273,54,1273,1,90,5.3,27,1,542,1273,195,56,80,1106,29,2.6
2025-09-03,(주)구주글로벌,2508-0327-0,KCSP-2153(C/N20PL 1W,BRINDLE/LT.BRINDLE,RAPID 3호,1039,54,1039,0.95,90,7.2,27,1,400,1039,195,56,80,906,30,3.2
2025-09-03,(주)구주글로벌,2508-0329-0,KCSP-2153(C/N20PL 1W,BRINDLE/LT.BRINDLE,RAPID 3호,1141,54,1141,1,90,5.1,25,1,468,1141,195,56,80,1013,0,0
2025-04-02,(주)선아섬유,2503-0617-0,C/TR30/2 TW 1W (SA-40540),BKS,RAPID 5호,1112,45,1112,0.98,50,14.6,42,0.27,320.2,1112,195,47,80,1917,10,0.5
2025-02-04,(주)구주글로벌,2501-0143-0,KCSP-2153(C/N20PL 1W,CROCODILE,RAPID 18호,1241,54,1241,1,100,9.4,28,1.18,405,1241,195,55,85,1112,15,1.3
2025-09-04,(주)구주글로벌,2507-0440-0,KCSP-2153(C/N20PL 1W,ERMINE,RAPID 5호,1197,54,1197,0.92,86,0.8,19,0.83,320.2,1197,195,56,85,642,0,0
2025-09-04,(주)구주글로벌,2508-0094-0,KCSP-2153(C/N20PL 1W,ERMINE,RAPID 5호,1070,54,1070,1,86,6.6,24,0.55,320.2,1070,180,55.5,40,887,26,2.8
2025-09-04,(주)구주글로벌,2508-0095-0,KCSP-2153(C/N20PL 1W,ERMINE,RAPID 18호,1014,54,1014,1,90,6.6,27,1,472,1014,180,55.5,40,990,0,0
2025-02-07,(주)구주글로벌,2501-0546-1,KCSP-2153(C/N20PL 1W,BRINDLE/LT.BRINDLE,RAPID 18호,1200,54,1200,1.12,129,19.4,30,1.52,393,1200,195,54,85,775,42,5.1
2025-09-04,(주)구주글로벌,2508-0189-0,KCSP-2153(C/N20PL 1W,ERMINE,RAPID 3호,1094,54,1094,0.95,90,0.6,30,1.11,484,1094,180,55.5,40,1069,0,0
2025-09-04,(주)구주글로벌,2508-0190-0,KCSP-2153(C/N20PL 1W,ERMINE,RAPID 3호,1032,54,1032,1.05,90,5.2,25,1,434,1032,180,55.5,40,894,0,0
2025-09-04,(주)구주글로벌,2508-0334-0,KCSP-2153(C/N20PL 1W,DRIED SAGE/LT.DRIED,RAPID 5호,960,54,960,0.95,86,0.6,29,0.6,320.2,960,195,56,80,853,14,1.6
2025-09-05,(주)구주글로벌,2507-0400-0,KCSP-2153(C/N20PL 1W,ERMINE,RAPID 6호,1207,54,1207,0.79,90,4.8,24,0.9,367,1207,195,56,85,1099,18,1.6
2025-09-05,(주)구주글로벌,2508-0335-0,KCSP-2153(C/N20PL 1W,DRIED SAGE/LT.DRIED,RAPID 5호,949,54,949,0.93,95,0.5,30,0.89,320.2,949,195,56,80,826,38,4.4
2025-09-05,(주)예성텍스타일,2507-0545-1,N/C20FD 2/2TW (YNC258-1),LAUREL OAK,RAPID 5호,912,56,912,0.93,95,5.7,23,1,320.2,912,180,57.5,45,701,0,0
2025-09-05,(주)텍스에버플러스,2508-0460-0,P/C30 1/3MATT REC(TN23R-038),34700 CAMEL,RAPID 18호,765,58,765,1.11,90,8.1,11,1,458,765,160,58,40,685,0,0
2025-09-05,케이비텍스타일,2508-0473-0,NP/N30 PLAIN(머루구슬,#4622,RAPID 18호,439,55,439,1.33,120,6.1,20,1.5,385,439,160,54,55,341,0,0
2025-09-05,케이비텍스타일,2508-0473-0,NP/N30 PLAIN(머루구슬,#4622,RAPID 18호,439,55,439,1.33,120,6.1,20,1.5,385,439,160,54,55,341,0,0
2025-09-09,(주)구주글로벌,2508-0391-0,KSC-7541(NP/CC20 RIB),WREN,RAPID 6호,1202,59,1202,0.63,100,8.2,27,1.27,354,1202,160,59.5,40,927,0,0
2025-09-10,(주)구주글로벌,2508-0507-0,KCSP-2153(C/N20PL 1W,BUNGEE CORD.WALNUT,RAPID 6호,1205,54,1205,1,90,8.9,28,1.35,348,1205,195,56,85,1022,22,2.1
2025-09-10,(주)신흥,2508-0069-0,SF-25(N/C20FD 1/2T,40058-1898,RAPID 6호,927,58,927,0.95,91,6.5,26,1,374,927,180,57.5,40,731,0,0
2025-09-12,(주)구주글로벌,2508-0511-0,KCSP-2153(C/N20PL 1W,BUNGEE CORD.WALNUT,RAPID 6호,1181,54,1181,0.97,100,10.6,29,1.16,374,1181,195,55,80,684,34,4.7
2025-09-29,(주)베코인터내쇼날,2509-0329-0,P/TC30 SLR TW (BPC-032R1ST-F2),REED,RAPID 18호,1178,55.26512739,1178,0.95,90,5.4,26,1.11,428,1178,160,58,35,1034,0,0
2025-09-30,(주)구주글로벌,2509-0189-0,KCSP-2153(C/N20PL 1W,WALNUT,RAPID 5호,1205,54,1205,0.63,96,7.1,41,1,320.2,1205,195,55,95,1054,0,0
2025-09-30,(주)베코인터내쇼날,2509-0331-0,P/TC30 SLR TW (BPC-032R1ST-F2),TAUPE,RAPID 18호,960,55.26512739,960,0.8,130,16.5,24,1.45,435,960,160,58,35,834,0,0
2025-09-30,(주)에스엠글로벌,2509-0683-0,P75ASK이중지1W도전사(3243,BLUE,RAPID 18호,988,45,988,0.7,130,11.5,31,1.47,432,988,200,47,40,760,119,13.5
2025-09-30,(주)예성텍스타일,2509-0484-0,N/C20FD 2/2TW (YNC258-1),LAUREL OAK,RAPID 4호,461,56,461,1.11,90,4.6,25,0.93,252,461,180,58,50,425,0,0
2024-12-12,(주)신흥,2412-0259-0,SW-3041(N/NC100/20 DOB2W,0783 BLACK,RAPID 18호,1000,52.5,1000,0.67,90,10.6,12,1.35,374,1000,195,53,30,649,14,2.1
